user user cmbyn do screen august &amp at miff || Ground truth: sadness
when you'r leav for work and your husband i still sound asleep in b 😅 can i just stay hom || Ground truth: sadness
i start my day thank my star then i se my colleagu walk away ear notic period honeymoon scen and i wonder why god why || Ground truth: sadness
user ya writ horror so everyth today in th world look normal to thi dark individual || Ground truth: anger
huddl befor flam don't let poetry scar you production i wild haiku || Ground truth: optimism
user bitter w all hav bad experienc thi wa year ago tim to let it li user forever ❤😍 😍 ❤ || Ground truth: optimism
hous sitt for mil feed baby and cat start scratch at door mummy now need a nappy  terrifi neveragain nop || Ground truth: anger
actual gunna miss america a lot 😰 || Ground truth: sadness
year 😭 rest in piec coreymontheith gle || Ground truth: sadness
first ever doctor appointment without my mum how daunt || Ground truth: sadness
user crowgirl and i also if you'r over wear whatever th hell you want 😅 || Ground truth: anger
flatmat provocat pin pollen man || Ground truth: anger
user may i ask a question pleas scar || Ground truth: sadness
i want to cry just think about colleg and it wa on th first day a good || Ground truth: sadness
user first it wa steam pussy with garlic now thi 😰 ao i giv up || Ground truth: sadness
