i am revolt || Ground truth: anger
user man u r just bitter about manu mak great strid || Ground truth: anger
duty call 😧 || Ground truth: anger
i should'v stay in b || Ground truth: sadness
user user if i could just pick of them then i'd hav no troubl pick who i want 🤣 || Ground truth: optimism
user user user user i can't even find ticket anymor gunna call it a day and go cry in th corner i think 😭 lol || Ground truth: sadness
and clear all thi breathless coverag isn't cover th real collusion story dnc &amp ukrainecollusion || Ground truth: anger
user lov light up old task will soon go and seriou || Ground truth: optimism
amazon' primeday debut in india wa disappoint mayb next year it will get better glad it' final her though 😅 || Ground truth: anger
sh trapp m but i lov her insecur killingm user || Ground truth: sadness
user it real i and it wa a normal th a few year ago but it should'v stay in th past by now || Ground truth: sadness
post vacation blu ar so real 😔 || Ground truth: sadness
i wa so confus but then my inner fujoshi wa scream and lik i wa try so hard not to smil or laugh || Ground truth: sadness
who knew magnu ban with teary ey and trembl lip would b my downfall || Ground truth: sadness
user th gupta i th middl man from hell men with cigar sitt and plott in th dark of night || Ground truth: anger
may god grant u th ability to se hi unfail lov fill th earth 🌏 psalm aw || Ground truth: optimism
after all of th disney animat film ar remad in liv action will they just reanimat them again || Ground truth: optimism
user oh for four year thes panelist wer th lnp cheer squad hypocrit || Ground truth: anger
carolin ff shut thi whing ‘last word tom’ up h i unlikeabl &amp a smartass hi bias r bor user user || Ground truth: anger
user user did you se it it' literal all porn do sh real work for huff post || Ground truth: anger
user wait i saw thi tweet and thought h wa jok h wa seriou 😂 😂 😂 || Ground truth: anger
fucк m on kik guy hhorny dick sex womensbodi snapm sext xxx || Ground truth: anger
feel blind new spec pleas 😰 || Ground truth: sadness
mood kinda bitter bc le hi didn't appear in jaewon debut mv || Ground truth: anger
just finish play mystic messenger and i didnt expect th amount of angst in it 〒 ▽ 〒 mysticmessenger feel || Ground truth: optimism
user i said that onc and my pal ripp m a new arsehol 😊 || Ground truth: anger
another chunk of antarctic th siz of wal brok off th gle of know human deserv their extinction climatechang || Ground truth: anger
well my mind official blown after that gameofthron got got  whitewalker cry || Ground truth: sadness
hmmmm seem w on had punter vot in  cup follower and on punter at th track disappoint || Ground truth: sadness
i am so freak annoy that h constant feel th ne to b a tim in my lif wher i'd b happy with just on monitor on my pc || Ground truth: anger
chad and sarah i honest m and my ex year ago 😂 😂 cbb horrify || Ground truth: anger
user user user i believ ur mekka n madina also dikl which u kiss a dark dirty on || Ground truth: anger
i ne a blu water trip lot of function no dress panic || Ground truth: sadness
user first second on willtnt i music to my ear 😭 ❤️ ️ shak missedyou || Ground truth: sadness
user user yip coz he' a miserabl huffy get 😊 || Ground truth: anger
i'm still bitter about th fact that i didn't get th php liter promo || Ground truth: anger
user humanist &amp sailor 😂 😂 😂 😂 😂 😂 😂 😂 you forgot to add big tim loser arsehol 🇬 🇧 || Ground truth: anger
user min say th sam th no way my offens isnt a lol wtf || Ground truth: anger
school duti 😧 good night ppl || Ground truth: sadness
user th i tho my pout wa actual seriou || Ground truth: optimism
a littl positivity for a dreary tuesday from my littl jar of positivity now availabl in my etsy stor selfhelp handmadehour anxiety || Ground truth: optimism
lov gett hour of sleep and then gett woken up to horrid allergi oh good morn world allergy wonder || Ground truth: anger
i lov tattoo but serious justtattooofu that' just reveng &amp it' permanent for lif not sur it' worth th min of fam 🤔 || Ground truth: anger
user then dont disappoint them 😂 || Ground truth: sadness
when you'r leav for work and your husband i still sound asleep in b 😅 can i just stay hom || Ground truth: sadness
user mccain i revolt || Ground truth: anger
user user where' th pictur 😰 || Ground truth: anger
user ya writ horror so everyth today in th world look normal to thi dark individual || Ground truth: anger
user user go ahead &amp coon would lov to se you get hit by a man i bet you wouldn't find it funny blackhatematter || Ground truth: anger
gh jason &amp sonny ar hear a littl mor of what sam went through heartbreak user user user billymiller || Ground truth: sadness
i just tor my nd meniscu in month what th fuck hav you accomplish but serious reach maniacal laughter pain wtf self  || Ground truth: anger
huddl befor flam don't let poetry scar you production i wild haiku || Ground truth: optimism
user bitter w all hav bad experienc thi wa year ago tim to let it li user forever ❤😍 😍 ❤ || Ground truth: optimism
hous sitt for mil feed baby and cat start scratch at door mummy now need a nappy  terrifi neveragain nop || Ground truth: anger
that moment you pour your heart and soul to a girl sh read th messag but doesn't rep lov relationship help idontknow || Ground truth: sadness
for every dark night 🌑 there' a brighter day 🌞 || Ground truth: optimism
user user can you falter katli || Ground truth: anger
year 😭 rest in piec coreymontheith gle || Ground truth: sadness
jock pakistani ar fir on loc without reason they r kill our pilgrim pmo thank v r saf r v warfool fear pak nuk || Ground truth: sadness
user crowgirl and i also if you'r over wear whatever th hell you want 😅 || Ground truth: anger
flatmat provocat pin pollen man || Ground truth: anger
user may i ask a question pleas scar || Ground truth: sadness
i want to cry just think about colleg and it wa on th first day a good || Ground truth: sadness
user first it wa steam pussy with garlic now thi 😰 ao i giv up || Ground truth: sadness
