i'm so nervou i could puk + my body temp i ris ha ha ha ha ha || Ground truth: joy
ther i at least on alternat univers wher trump stay a democrat beat hrc for th nom and got elect a a democratic president || Ground truth: optimism
ato hack into your phon call and text messag privacylaw invasion i knew they did it but hear them get approval || Ground truth: anger
galaxy global eatery i terrific lik fre stuff lyft get you her fre with cod oath || Ground truth: joy
no matter how much user light up th forest they end up gett lost 😂 zescoforest ssbola || Ground truth: joy
i must say th amount of low level fighter and gatekeeper runn their mouth i ridiculou jealousy ufc jonjon || Ground truth: anger
it' nationalfrenchfryday and i'm work at mcdonald' frighten || Ground truth: anger
samuel and when saul saw that h had great success h stood in fear aw of him || Ground truth: joy
also been kind of silent on  of th x fil becaus i am terrifi that cc i go to screw it up actual i know h will dread || Ground truth: anger
user thi i a deliberat act of provocation akp announc their intention to abolish tsk which ha been their goal sinc day on || Ground truth: anger
sh wa so artistic paint smil on every fac but her own ■| || Ground truth: joy
vega you won || Ground truth: joy
user user w ne to get you out of ther and relocat to somewher that isn't afraid of sunshin || Ground truth: optimism
today i'm grate for my car my phon my thumb go on walk twitter what ar you grate for today || Ground truth: joy
so it' a proper test match day now ttv  team respond to yesterday' attack from aiadmkmerger team entertain to b honest || Ground truth: joy
user tri it onc pour into th sink didn't bother to mak tast not look lik cheap sak tast lik it too || Ground truth: anger
ang cut ni grim reaper omg || Ground truth: joy
user thi wa on gam i wa look forward too server issu hav spoil th gam will not buy a cm gam again || Ground truth: anger
they'v clear th warehous floor at work and there' sooo much beauti smooth concret 😭 || Ground truth: joy
summer sal bogo % off everyth in our retail showroom valid thru mix &amp match equal or lesser valu bogo ragegrafix || Ground truth: joy
user ya on tim i wa lik hey daddy queu up with m i can mak you wild growth and h wa lik nic try lulu abuser 😞 || Ground truth: anger
hour of hell again anxiety at thi point i'm convinc i'll never get an on sit job again or play keyboard liv || Ground truth: anger
user im terrific thank i hop you manag to get even if it' just wink of 😴 it wa a crush defeat h wa so deject || Ground truth: joy
user user y i also wrot to them caus my friend wa gett nervou about it hop w get what w want &gt &lt || Ground truth: optimism
user user rob i bad || Ground truth: anger
se m smil at my past lik what wa i think find rest oh my soul d sea ń storm still know hi nam jesu ilovejesu || Ground truth: joy
i thought h cri over som of hi relativ death or someth but when i know th truth i just wanna burst out 😂 || Ground truth: joy
mothafucka wanna adopt th dark but i wa born in it || Ground truth: anger
so to summariz aman norwood and mitchell clear lead th field in resourc though mitchell' burn rat i alarm || Ground truth: anger
th eclips i bor check out user or user or user or user thes show aren't bor || Ground truth: optimism
user they ar my hetero guilty pleasur 😂 || Ground truth: joy
pm reminder you ar ok you ar saf don't panic anxiety calm panic || Ground truth: optimism
user h will b jeer even mor by next year doesn't seem to get it that every last european includ brit think h i dread || Ground truth: anger
user i hop didn't scar other peopl who own thi figur that h will mov at midnight 😂 || Ground truth: optimism
user they ar adorabl i ne them all 😭 || Ground truth: joy
user women power sentiment chibok i nigeria concern || Ground truth: optimism
user user no sh incriminat herself with a multitud of feloni over her decad of terror on th u maga potu || Ground truth: anger
user inde 😲 alway a worry for our homeland gibraltar spain tal or foretell futur great short story || Ground truth: optimism
user f roswell preblast i'v been hand th key to roswell area park se you in th gloom b ready to slip &amp slid at || Ground truth: joy
user omg ar you kidd m with thi i thought penc wa bad but they had to go even farther || Ground truth: anger
remind m a littl of monster though on a tiny scal and it ha on of th most genuine horrific villain i'v ever seen || Ground truth: optimism
on chair i hav th munchi ar alpaca edibl afraid whatthefac salientfac salient || Ground truth: anger
today no matter how desperat or dir your situation noth i too difficult for god jeremiah justbreath heisabl believ || Ground truth: optimism
depression &amp fear com when we'r hyper focus on what w don't hav or who we'r not instead all that w hav and who w ar contentment || Ground truth: optimism
it i a shame th to b weary of inquiry when what w search for i excellent marcu tuliu cicero aldubersaryin day user || Ground truth: anger
oh yeon so' kdrama i so nic and i am still in aw that sh and dara ar friend now hop they can hav kdrama soon || Ground truth: joy
gett out of th car park could tak longer than th jimmy carr show ran nightmar || Ground truth: anger
bonnieraitt just mad m feel all th feel 😭 favorit || Ground truth: joy
don't b light and dark night and day smil and cry ――you and m || Ground truth: optimism
built in order to start afresh such thought caus energy to flag and peopl concern th city coa || Ground truth: optimism
feel full of existential dread bash mass surveillanc 🌱 || Ground truth: anger
and th idiot ar still gobb their ridiculou garbag with no better brain it' all they do th relentless braindead garbag gobber || Ground truth: anger
grumpy af today badsleep grumpy || Ground truth: anger
