th on upsid to be death il thi wek i that i'v goten bet at tak pil optimism || Ground truth: optimism
sem lik th on tim spent sob thes past few day wa when i wa slep and even then i wa wak up fad lol || Ground truth: joy
us us if i could just pick of them then i'd hav no troubl pick who i want 🤣 || Ground truth: optimism
koko i such a weird nam but i rememb that it i said to b mor lit that growl and it i exo so i'm acept th nam bop || Ground truth: optimism
us and i'm seriou ju singapor holiday and acompany my friend for job interview with on of my friend || Ground truth: optimism
don't start anyth premature even when u do learn your leson ear enough know when it' just ur fear or when u ne to back it up || Ground truth: optimism
us every girl nightmar ha ha ha || Ground truth: joy
best th about th bos film ha to b th wizard alarm clock do lotr quot baby || Ground truth: joy
batman lik to enrag th heat on th new dimity frock and propos mariag to m pol shaw wil lay m a cbgb crazy bal || Ground truth: joy
a hack into your phon cal and text mesag privacy invas i knew they did it but hear them get aprov to law || Ground truth: anger
who want hot snap ad m r nud snap snap sex cam hot trad pic swap horny chaud pusy char sex chat t || Ground truth: joy
how th jef am i gona cop kc diagnos myself with seriou ilnes thi morn &amp spent £ on ail from th chemist || Ground truth: anger
us wa a guest at your show today just want to say what an enjoyabl experienc from ariv to leav smil || Ground truth: joy
no mat how much us light up th forest they end up get lost 😂 z s esco forest bola || Ground truth: joy
i must say th amount of low level fight and gatekep run their mouth i ridiculou jealousy ufc jon jon || Ground truth: anger
jay z cam out of retire just to drop th album of th year on y'al let that sink in hav a great day y'al 🙌 🏿 || Ground truth: joy
us also nev got m a replace taxi so i wa forc to get a new on and transport myself teribl two no contd hour wait help || Ground truth: anger
great gam of teni thi on 👌 🏻 👌 🏻 🎾 nervou || Ground truth: joy
th i much in th world to mak u afraid th i much mor in our faith to mak u unafraid || Ground truth: optimism
us us i'm dismay at th uk decis to pul out of th eu and i'v urg may to rejoin european lead 😉 || Ground truth: anger
us nev a god experienc at  fort av locat i nev learn becaus i lov chipotl teribl bad servic || Ground truth: anger
us your parent should get you help not enabl you &amp you shouldn't drink when pregnant it can kil th baby horid || Ground truth: anger
also ben kind of silent on  of th x fil becaus i am terifi that c i go to screw it up actual i know h wil dread || Ground truth: anger
harden not your heart a in th provocat and a in th day of temptat in th wilder psalm kjv || Ground truth: optimism
us thi i a deliberat act of provocat akp anounc their intent to abolish tsk which ha ben their go sinc day on || Ground truth: anger
color ngen worst fila for m god finish but so fragil c us fab || Ground truth: anger
us it' adorabl mnu think she' on a govern mis louis chin wif linton || Ground truth: joy
us us w ne to get you out of th and relocat to somewh that isn't afraid of sunshin || Ground truth: optimism
today i'm grate for my car my phon my thumb go on walk twit what ar you grate for today || Ground truth: joy
so it' a prop test match day now tv  team respond to yesterday' atack from aiadmk team entertain to b honest merg || Ground truth: joy
us know how much in movi s now forev in th futur that th actor &amp sing talk their crap about trump american lost amp || Ground truth: anger
even th devil wa onc an angel tuesday chang think devil angel anxiety word thought of wisdom || Ground truth: optimism
i definite know my karaok song now so hmu and it' by britney shock || Ground truth: joy
go to b with dry and clean hair bles || Ground truth: joy
us us us us us bitch play every rol sh ev did exact th sam dul || Ground truth: anger
mod kinda bit bc le hi didn't apear in ja debut mv won || Ground truth: anger
i leav in day and just now remember that my car ha masag seat crap || Ground truth: anger
i respect facebok and them kil snap if you can't buy em beat em fb chat || Ground truth: anger
just finish play mystic meseng and i didnt expect th amount of angst in it 〒 ▽ 〒 mystic fel meseng || Ground truth: optimism
us us you real ne bet sourc info and avoid th fak new it ha cloud even th obviou || Ground truth: anger
us ya on tim i wa lik hey dady queu up with m i can mak you wild growth and h wa lik nic try lulu abus 😞 || Ground truth: anger
hour of hel again anxiety at thi point i'm convinc i'l nev get an on sit job again or play keyboard liv || Ground truth: anger
god' help for israel in isaiah i for u today don’t b afraid or discourag he' ur god who wil strengthen help &amp hold u up || Ground truth: optimism
us oh definite i saw th snap and th colour lok great to || Ground truth: joy
us us y i also wrot to them caus my friend wa get nervou about it hop w get what w want &gt &lt || Ground truth: optimism
us us rob i bad || Ground truth: anger
it' tak apart my lawn get of my lawn || Ground truth: anger
