user shock loss of talent young man prayer pray for hi fami || Ground truth: sadness
word cannot describ th sheer pain of th blister caus by thes new sandal i am thi clos to go barefoot all th way hom grim || Ground truth: sadness
quot of th day com from queen cersei herself user power hungry peopl ar fear otherwis why wouldn't you just chill 👏 || Ground truth: optimism
daniel kill her ex doee 🍫 🍫 🍫 😛 insecur || Ground truth: sadness
th number of ppl who took it th wrong way i not that alarm but srs why do u think lyt dat man oy 😊 || Ground truth: joy
user user user i confess i didn't watch last week bad ar you go to do an episod on accessibility || Ground truth: sadness
user w ne mor mutual trust to increas security &amp fight terrorism &amp radicalization in europ osc aut diplomacy || Ground truth: optimism
m how much pric for thi poster of thi sexy man sal clerk that' a mirror sir laughoutloud || Ground truth: joy
you won't reach a goal you hid in a drawer keep it in front of your fac at all tim wednesdaywisdom || Ground truth: optimism
attention seeker chri uhlmann high arous over th attention h drew to himself now enjoy som fist of fury tim user user || Ground truth: joy
﻿ mummy cam hom and order pizza even though there' food in th fridg i ain't fight th hypocrisy thi tim jalepeno pin chicken || Ground truth: joy
user don jr lawyer up with th wrong folk h aint so bright || Ground truth: sadness
i can feel my skull shatter from th dull chatter brain spatter on th wall grey stain won't dissolv now i hav to paint it all || Ground truth: sadness
carlsbad rouladen i on deliciou hearty hom styl dish stop by and let u know how you lik it getdtl ldnont chaucer marienbad || Ground truth: joy
every tim i fart my dog jump in fear hahahaha yass || Ground truth: joy
user what mor sad ar th adult who continu to do it afterward || Ground truth: sadness
user primeday fre slurpe day at ' national chicken day i got som multitask to do and squeez in my dr appt 😧 || Ground truth: joy
user tuesdaythought horror damn it' tough to chos but i will go to camp crystal lak but not a counselor 😁 || Ground truth: joy
although i laugh and i act lik a clown beneath thi mask i am wear a frown my tear ar fall lik rain from th sky || Ground truth: sadness
user i'm sorry for any disappointment aaron it could b worth ask to mov seat if you aren't happy to sit by th exit ^bm || Ground truth: sadness
damn i just walk up to th train station and i literal di || Ground truth: sadness
each of y separat fallen if w quicken hi wrath upon u will on caus our pain to b mor unbearabl in that pit || Ground truth: sadness
user mad your chicken tikka masala w cauliflower &amp pea tonight so deliciou didn't even get a chanc to snap a pic deliciou || Ground truth: joy
if th blu wer whiskey i'd stay drunk all th tim || Ground truth: sadness
w can complain becaus ros bush hav thorn or rejoic becaus thorn bush hav ros abraham lincoln optimism flow nonresistanc || Ground truth: optimism
real wanna dy m hair a bright colour but iv spent all thi tim grow th dy out || Ground truth: optimism
user look lik city fan ar already blam th ref for a shock defeat at bournemouth amus || Ground truth: joy
user user ther might b a spec of hop at th end of thi horrific tunnel || Ground truth: optimism
chicken n stuff go in th crockpot for din din getinmybel || Ground truth: joy
merkel ha support all israeli terror initiativ oppos th palestinian bid for membership at th un || Ground truth: sadness
hav funny feel thi mayweather mcgregor will becom a trilogy why mak million when you can mak it x hmmm suspicion 💵 💰 || Ground truth: joy
user 🤦 🏻 ‍♀ ️ w wer warn and now w basical on hav th choic between trump penc ryan et al for potu 🤢 || Ground truth: sadness
user you never told moi jkjk || Ground truth: sadness
user video n a 😟 || Ground truth: sadness
down to on roll wonder i ne mor toilet paper personalassistant || Ground truth: joy
in order to expand beyond th plac that ar familiar you hav to do thing that scar you || Ground truth: optimism
user and i'm seriou ju singapor holiday and accompany my friend for job interview with on of my friend || Ground truth: optimism
don't start anyth premature even when u do learn your lesson ear enough know when it' just ur fear or when u ne to back it up || Ground truth: optimism
user user user th official pi jam kit ha arriv raspberrypi excitement || Ground truth: joy
mutual who alway onlin user bc w hav to bul her to get to sleep || Ground truth: joy
user user user user and i apologis lik tim and you'r still hold a grudg can't help thag || Ground truth: sadness
eas i a greater threat to progress than hardship || Ground truth: optimism
ther i at least on alternat univers wher trump stay a democrat beat hrc for th nom and got elect a a democratic president || Ground truth: optimism
lov u so much but u alway get angry at m 😔 || Ground truth: sadness
user user sort it out user || Ground truth: optimism
com up on snap chat so add m asap mateo_bkny snapchat || Ground truth: joy
user so she' say that th mountain of verifiabl evidenc that say otherwis i all fak new well there' a surpris 🤣 || Ground truth: joy
awok from an actual nightmar about unicod normalization || Ground truth: sadness
user user sinc when did someon break chromecast for all macbook pl w despair at day wast try mak it work again || Ground truth: sadness
on sid i th concern &amp fear our teen safety &amp happi thathorriblesuicidegam terrify sosick contd || Ground truth: sadness
galaxy global eatery i terrific lik fre stuff lyft get you her fre with cod oath || Ground truth: joy
user said sure th bitter of death i past ” || Ground truth: optimism
user user user ah so that' why every tim i se it i burst out with kayleigh || Ground truth: joy
user lov your dog when i se how happy they ar and my own dog it help m forget th crap thank you || Ground truth: joy
user a review of my book fault m for spend so much tim on webster' introductory front matter but i had to brilliant || Ground truth: joy
listen to user and watch th eclips at th dog park bliss || Ground truth: joy
can't sleep been awak for hour still haven't com up with an answer stress cantsleep sotir || Ground truth: sadness
i keep ask myself why i'm constant draw teo w a frown but then i just remember what' go on and i immediate understand || Ground truth: optimism
user user user user i didn't say it becaus you left th party and gam in a huff || Ground truth: sadness
