dep i re partn w depres peopl tru dont understand th depth in which they afect u ad in anxiety &amp mak it wors pres || Ground truth: sadness
us hapy birthday cuz many bles 🙌 🏾 💪 🏾 🇳 🇬 💯 kep bles o grind || Ground truth: joy
us don't wory frogy it wil son b tim for frog fear friday || Ground truth: optimism
us us us watch th tot on ur chanel right now amaz what' hapen in th usa solar eclips || Ground truth: joy
my nam i sara im year old and i cant believ boil an on i mak m cry || Ground truth: sadness
aj end up be a teribl charact but no on in hi fami ev actual speak to him h witnes so much and just get sent away || Ground truth: sadness
i hung up on my manag last night 😭 || Ground truth: sadness
us although i hav a nic vulva i chos not to intimidat oth women with it || Ground truth: optimism
every tim i think abt hob cry i start cry i || Ground truth: sadness
don't justify terorism a comun hatr amarnath i she act of cowardic let' unit togeth against terorism luv al teror atack || Ground truth: optimism
god bles him in hong kong ex || Ground truth: joy
us th best of mak up horor story || Ground truth: joy
gam how can you top that next wek heartbreak of th on || Ground truth: sadness
john let not your heart b troubl neith let it b afraid peac afraid || Ground truth: joy
do you ev just get so excit that your try to slep &amp just can't even clos you ey 😁 lik i real ne thi catnap but excite  || Ground truth: joy
us ha sad not just th undy respect of your pe i'm afraid || Ground truth: sadness
us th gop control th senat blam th dem sem sad || Ground truth: sadness
us oh no jump on again ha it turn cold 😟 hav a terific day 🙋 🏼 🌸 🌼 🌻 💕 💕 || Ground truth: joy
and every tim i cry hard fear blanket m || Ground truth: sadness
i fw us h don't hesitat to speak hi mind || Ground truth: optimism
us ah that' a neat idea wil check that out might mak m mor depres about my slow tho 🤣 || Ground truth: sadness
mental sufer i worthles lif pain suicid want to di without color || Ground truth: sadness
part of daniel insecur i got you hiv || Ground truth: sadness
th stupidest and weirdest th peopl do and what' mor stupid than that they upload it onlin oh my god but god for laught ah 🤣 🤣 || Ground truth: joy
every day i dread do an hour shift in retail 🙂 || Ground truth: sadness
that mo when you fel meaningles and just fel lik you cant do anyth right = forev alon || Ground truth: sadness
my neck stil hurt though 😥 || Ground truth: sadness
us think it lost it heart aft th second vers third wa disapoint and haven't play th fourth yet || Ground truth: sadness
i'm sory im much mor interest in th bachelor ros ceremony than whatev us ha serious in paradis || Ground truth: sadness
us i'm very hapy glad or whatev th fel i'm not into drama || Ground truth: joy
why o they cal it a hapy m if it tast lik a whol lot lik depres a || Ground truth: sadness
johny doesn't sem lik th suicid typ suspic tcm party || Ground truth: sadness
wow that last chick wa a bit intens por fredi wa a bit unerv lol ninja warior au || Ground truth: joy
fil with sophisticat glum || Ground truth: sadness
or just blam th glomy weath || Ground truth: sadness
from th archiv strikeforc champ ronda rous chirp church mayhem nak rip ronda twit y mil rous y || Ground truth: sadness
not animat said pen amaz wif lov thi on || Ground truth: joy
us ben th don that || Ground truth: joy
us wow i'v just spot th cutest human be aliv bles 😍 || Ground truth: joy
robert cal m to mak sur i wa awak for my night clas || Ground truth: joy
i hat thes cripl anxiety || Ground truth: sadness
i final got my driv permit y ready nervou scar to driv || Ground truth: joy
i should wear black &amp mourn a lil || Ground truth: sadness
get up for work i so much hard when charl doesn't hav to 🙁 || Ground truth: sadness
had nodl for tea yum yum yumy d a chg nodl m my lg bdl l || Ground truth: joy
th tim when you ne someon to lean on but sad they ar on th if they ne you || Ground truth: sadness
us id argu that sakura spac i th best of th franchis and it not on your list disapoint || Ground truth: sadness
us i dani alv real go to go to psg in your opin nervou || Ground truth: sadness
us hav th most wonder day ian || Ground truth: joy
i'v sen som get so discourag in their old ag beco they aren't physical abl do th th for god they us do in their youth || Ground truth: sadness
lok up som phon pric onlin and it just saden m even mor 😧 || Ground truth: sadness
anoth blow for student a th su hav shun wildcat for fear they wil ofend dr dr || Ground truth: sadness
ly at th pol with john ic cream drink degre and listen to bust ✌ 🏼 ️ blis || Ground truth: joy
